ServiceName,OptionName,REGIONNAME,ServiceTSID,OptionTSID,SERVICEOPTIONSTATUSNAME,ServiceType
Mumbai - Kathmandu,Economy Class Flight - (LCC),Mumbai,2850,47172,Unavailable,Flight
Mumbai - Ahmedabad,Economy Class Flight - (LCC),Mumbai,2224,47152,Unavailable,Flight
Chennai - Coimbatore,Economy Class Flight - (LCC),Chennai,2837,46931,Unavailable,Flight
Chennai - Madurai,Economy Class Flight - (LCC),Chennai,2835,46930,Unavailable,Flight
Goa - Mumbai/Delhi - Ahmedabad,Economy Class Flight - (LCC),Goa,2649,46896,Unavailable,Flight
Delhi - Kathmandu,Economy Class Flight - (LCC),Delhi,2408,46893,Unavailable,Flight
Delhi - Vadodara,Economy Class Flight - (LCC),Delhi,2390,46870,Unavailable,Flight
Goa - Hyderabad,Economy Class Flight - (LCC),Goa,2654,46869,Unavailable,Flight
Goa - Bangalore,Economy Class Flight - (LCC),Goa,2662,46868,Unavailable,Flight
Delhi - Mumbai/Bangalore - Trivandrum,Economy Class Flight - (LCC),Delhi,2387,46866,Unavailable,Flight
Delhi - Pune,Economy Class Flight - (LCC),Delhi,2386,46865,Unavailable,Flight
Delhi - Patna,Economy Class Flight - (LCC),Delhi,2383,46864,Unavailable,Flight
Delhi - Nagpur,Economy Class Flight - (LCC),Delhi,2381,46863,Unavailable,Flight
Delhi - Mumbai,Economy Class Flight - (LCC),Delhi,2379,46861,Unavailable,Flight
Delhi - Kolkata,Economy Class Flight - (LCC),Delhi,2369,46860,Unavailable,Flight
Delhi - Hyderabad,Economy Class Flight - (LCC),Delhi,2363,46853,Unavailable,Flight
Delhi - Indore,Economy Class Flight - (LCC),Delhi,2361,46852,Unavailable,Flight
Delhi - Guwahati,Economy Class Flight - (LCC),Delhi,2355,46847,Unavailable,Flight
